rank,parent_name,headquarters,hqAddress,switchboardPhone,contactDomain,targetDepartment,keyContactRole,key_executive,segment,callingRegion,tradeLane,primary_bunkering_hubs,vessels_in_scope,strategy_tier,vlsfo_tonnes,mgo_tonnes,lng_tonnes,total_energy_mwh,actual_ghgie,compliance_balance_2025_tco2e,penalty_2025_y1_eur,penalty_2025_y2_eur,compliance_balance_2030_tco2e,penalty_2030_y1_eur,bio_lng_required_neg100_t,bio_lng_required_neg100_mwh,bio_lng_required_zero_t,client_savings_physical_eur,desk_margin_physical_eur,client_savings_pooling_eur,desk_margin_pooling_eur,outreachPitch,fleetCapability,lng_vessels_in_scope,conventional_vessels_in_scope,ets_exposure_2025_tco2,ets_exposure_2025_eur,ets_exposure_2026_eur,combined_regulatory_exposure_2025_eur
11,"Frontline Ltd (Fredriksen Group)","Limassol, Cyprus / Oslo","John Kennedy Street, Iris House, 7th Floor, 3106 Limassol, Cyprus","+357 25 818 040","frontline.bm","Commercial Management & Bunkering Desk","Commercial Director / Head of Tanker Bunkering","Lars Barstad (CEO) / Inger Klemp (CFO)","Crude & Product Tanker",ARA_HUB,ME_AFRICA_EU_LIQUID,"Rotterdam, Augusta, Gibraltar, Skaw",78,"Tier 1: Mega-Deficit (>€10M / year) · World's Largest Pure-Play Tanker / Heavy Deficit",450000,48000,0,5694333,91.15,-37251.9,23922139,26314353,-112001.6,71924362,4007.1,54653,8492.5,22009298,819789,17216798,931297,"Frontline's 78 crude and product tankers calling European hubs face €23.9M in Year 1 FuelEU penalties due to conventional heavy oil burn. We structure 54.7 GWh of physical bunker arrangements in Rotterdam and direct Article 21 pool acquisitions to deliver €22.0M in net savings.",CONVENTIONAL_ONLY,0,78,1088631.6,76204212,108863160,100126351
12,"Scorpio Tankers","Monaco","Le Panorama, 57 Rue Grimaldi, 98000 Monaco","+377 97 98 57 16","scorpiotankers.com","Fleet Decarbonization & Bunker Procurement","VP Sustainability & Marine Fuel Procurement","Emanuele Lauro (Chairman & CEO) / Robert Bugbee (President)","Product Tanker",WEST_MED,ME_AFRICA_EU_LIQUID,"Rotterdam, Malta, Gibraltar, Piraeus",90,"Tier 1: Mega-Deficit (>€10M / year) · High Eco-Design Scrubber Fleet / Penalized Under FuelEU",440000,50000,0,5604167,91.15,-36655,23538895,25892784,-110221.1,70781210,3942.9,53777,8356.4,21656706,806652,16941002,916374,"Despite modern eco-design vessels, Scorpio's 90 tankers face a €23.5M statutory penalty under FuelEU's strict Well-to-Wake accounting. Our desk executes 53.8 GWh of Mediterranean-aligned biomethane sourcing and Article 21 pooling, capturing €21.7M in net penalty mitigation.",CONVENTIONAL_ONLY,0,90,1071322,74992540,107132200,98531435
13,"Wallenius Wilhelmsen","Lysaker, Norway","Strandveien 20, 1366 Lysaker, Norway","+47 67 58 40 00","walleniuswilhelmsen.com","Global Sustainability & Marine Fuel Operations","Head of Decarbonization / VP Bunker Sourcing","Lasse Kristoffersen (CEO) / Jon Tarjei Krog (VP Energy Transition)","Vehicle Carrier (PCTC)",UK_CONTINENT,TRANSATLANTIC,"Bremerhaven, Zeebrugge, Southampton, Antwerp",95,"Tier 1: Mega-Deficit (>€10M / year) · Global Car Carrier Leader / Ordering Methanol & LNG Shuppan",420000,55000,0,5435694,91.15,-35536.4,22820784,25102862,-106891,68643330,3822.6,52136,8101.4,20996032,782036,16424235,888409,"Calling Zeebrugge, Bremerhaven, and Southampton with 95 PCTCs creates a €22.8M FuelEU penalty exposure in 2025 across transatlantic corridors. We supply 52.1 GWh of certified low-CI Bio-LNG or Article 21 pool allocations across North Sea auto-ports, yielding €21.0M in net client savings.",CONVENTIONAL_ONLY,0,95,1038947,72726290,103894700,95547074
14,"Euronav / CMB.TECH","Antwerp, Belgium","De Gerlachekaai 20, 2000 Antwerp, Belgium","+32 3 247 44 11","euronav.com","Clean Technologies & Marine Fuels Procurement","Head of Green Fuels / Chief Strategy Officer CMB.TECH","Alexander Saverys (CEO) / Ludovic Saverys (CFO)","Crude Tanker & Clean Tech",ARA_HUB,ME_AFRICA_EU_LIQUID,"Rotterdam, Antwerp, Algeciras",68,"Tier 1: Mega-Deficit (>€10M / year) · Aggressive Ammonia/Hydrogen Pioneer / Immediate FuelEU Deficit",410000,42000,0,5167611,91.15,-33810.1,21711872,23883059,-101645.6,65273817,3636.9,49603,7707.9,19975762,744047,15626051,845253,"Bridging the transition to clean propulsion for Euronav's 68 tankers across liquid import corridors requires resolving a €21.7M 2025 FuelEU exposure. We structure 49.6 GWh of Antwerp-Rotterdam Bio-LNG supply and Article 21 pooling arrangements to secure €20.0M in immediate compliance savings.",CONVENTIONAL_ONLY,0,68,987974.4,69158208,98797440,90870080
15,"TORM plc","Copenhagen, Denmark","Tuborg Havnevej 18, 2900 Hellerup, Denmark","+45 39 17 92 00","torm.com","Commercial Bunkering & Decarbonization Office","Head of Energy Efficiency / Head of Bunkering","Jacob Meldgaard (Executive Director & CEO) / Kim Balle (CFO)","Product Tanker",BALTIC_NORDIC,ME_AFRICA_EU_LIQUID,"Rotterdam, Skaw, Gibraltar, Augusta",82,"Tier 1: Mega-Deficit (>€10M / year) · Pure Conventional Fleet / Direct Pooling Target",390000,45000,0,4975417,91.15,-32541,20897005,22986706,-97853.5,62839089,3500.4,47741,7418.5,19226065,716117,15039633,813524,"TORM's 82 product tankers trading into the Skaw and Baltic face €20.9M in statutory penalties in 2025 under FuelEU Maritime. Our desk arranges physical Danish/Baltic biomethane off-take of 47.7 GWh and Article 21 pooling to deliver €19.2M in client financial savings.",CONVENTIONAL_ONLY,0,82,951111,66577770,95111100,87474775
16,"Golden Ocean Group (Fredriksen)","Bermuda / Oslo","Bryggegata 3, 0250 Oslo, Norway","+47 22 01 73 40","goldenocean.bm","Commercial Operations & Energy Transition Desk","Commercial Director / Head of Green Bulk Operations","Lars-Christian Svensen (CEO) / Peder Simonsen (CFO)","Dry Bulk Carrier (Capesize/Panamax)",ARA_HUB,TRANSATLANTIC,"Rotterdam, Ijmuiden, Gibraltar",72,"Tier 1: Mega-Deficit (>€10M / year) · Pure Capesize Ore Carrier / Large Deficit",380000,40000,0,4802222,91.15,-31417,20175116,22192628,-94456,60656968,3379.5,46092,7162.3,18561890,691383,14520056,785425,"Discharging iron ore and coal into Rotterdam and Ijmuiden with 72 Capesize bulkers results in a €20.2M FuelEU penalty liability across transatlantic routes. We provide 46.1 GWh of negative-CI Bio-LNG or Article 21 pool backing to generate €18.6M in net client savings.",CONVENTIONAL_ONLY,0,72,918092,64266440,91809200,84441556
17,"DFDS Group","Copenhagen, Denmark","Marmorvej 18, 2100 Copenhagen O, Denmark","+45 33 42 33 42","dfds.com","Fleet Decarbonization & Marine Operations","Director of Fleet Decarbonization / VP Marine Standards","Torben Carlsen (CEO) / Kasper Moos (VP Ferry Division)","European Ferry & Logistics",UK_CONTINENT,BALTIC_NORDIC_ROPAX,"Dover, Dunkirk, Rotterdam-Vlaardingen, Gothenburg, Klaipeda",65,"Tier 1: Mega-Deficit (>€10M / year) · High Frequency Short-Sea / Prime Virtual Pipeline Bio-LNG Buyer",120000,290000,0,4806389,91.12,-30803.8,19789402,21768343,-93897.5,60322836,3313.5,45193,7022.5,18207661,677889,14244709,770096,"With high-frequency Dover-Calais and North Sea ferry operations across 65 Ro-Pax vessels, DFDS incurs a €19.8M FuelEU penalty liability. Our specialized Channel and North Sea biomethane supply solutions deliver 45.2 GWh of negative-CI fuel or pool backing to resolve your 30,804 tCO2e deficit, saving €18.2M.",CONVENTIONAL_ONLY,0,65,912394,63867580,91239400,83656982
18,"Minerva Marine","Athens, Greece","141-143 Vouliagmenis Avenue, 16674 Glyfada, Athens, Greece","+30 210 890 7000","minervamarine.com","Technical & Bunkering Department","Bunker Manager / Environmental Director","Andreas Martinos (CEO) / Socratis Dimakopoulos (COO)","Crude & Product Tanker",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Rotterdam, Augusta, Malta",65,"Tier 1: Mega-Deficit (>€10M / year) · Greek Private Giant / Pure Deficit Exposure",350000,38000,0,4436833,91.15,-29023.9,18638360,20502196,-87266.4,56040120,3122,42581,6616.7,17148018,638718,13414060,725597,"Operating 65 tankers across Mediterranean and Black Sea trades leaves Minerva exposed to €18.6M in FuelEU statutory penalties in 2025. We arrange 42.6 GWh of physical Bio-LNG bunkering in Greece/Augusta and bilateral compliance pooling to deliver €17.1M in net savings.",CONVENTIONAL_ONLY,0,65,848209.6,59374672,84820960,78013032
19,"Dynacom Tankers (Prokopiou Group)","Athens, Greece","97 Poseidonos Avenue, 16674 Glyfada, Athens, Greece","+30 210 898 1111","dynacomtm.com","Commercial Tanker Operations & Bunkers","Bunkering Director / Decarbonization Manager","George Prokopiou (Founder & Chairman)","Crude & Product Tanker",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Rotterdam, Malta",62,"Tier 1: Mega-Deficit (>€10M / year) · High Scrubber Exposure / High FuelEU Burden",340000,38000,0,4322944,91.15,-28276.4,18158360,19974196,-85023.8,54600119,3041.6,41485,6446.3,16706401,622268,13068612,706909,"Dynacom's 62 crude tankers face an €18.2M FuelEU compliance penalty for 2025 voyages into Central Mediterranean and ARA hubs. Our desk executes Article 21 pooling arrangements or supplies 41.5 GWh of verified European biomethane to eliminate your deficit and save €16.7M.",CONVENTIONAL_ONLY,0,62,826411.6,57848812,82641160,76007172
20,"Hapag-Lloyd AG","Hamburg, Germany","Ballindamm 25, 20095 Hamburg, Germany","+49 40 3001 0","hapag-lloyd.com","Global Fuel Purchasing & Decarbonization Division","Senior Director Global Fuel Purchasing / Head of Decarbonization","Rolf Habben Jansen (CEO) / Richard von Berlepsch (MD Fleet)","Container Liner",BALTIC_NORDIC,ASIA_EUROPE,"Hamburg, Rotterdam, Antwerp, Genoa",165,"Tier 1: Mega-Deficit (>€10M / year) · Large Dual-Fuel LNG Berlin Express Class / Biofuel Blends",1050000,95000,85000,14244444,89.8,-23719.8,15461980,17008178,-210707.2,137351536,2551.5,34800,5407.5,14243997,521993,11192417,592995,"With 165 container vessels calling Hamburg, Rotterdam, and Genoa, Hapag-Lloyd faces a €15.5M net FuelEU penalty exposure in 2025. We supply 34.8 GWh of negative-CI Bio-LNG at Elbe and Rhine hubs or execute Article 21 pooling to completely offset 23,720 tCO2e, capturing €14.2M in net savings.",DUAL_FUEL_LNG,13,152,2665614,186592980,266561400,202054960
21,"Stena Line (Stena AB)","Gothenburg, Sweden","Danmarksterminalen, Emigrantvagen 20, 405 19 Gothenburg, Sweden","+46 31 85 80 00","stenaline.com","Sustainable Shipping & Bunker Procurement","Head of Sustainability / Fleet Fuel Manager","Niclas Martensson (CEO) / Ian Hampton (COO)","European Ferry & Ro-Pax",BALTIC_NORDIC,BALTIC_NORDIC_ROPAX,"Gothenburg, Kiel, Belfast, Holyhead, Hook of Holland",38,"Tier 1: Mega-Deficit (>€10M / year) · Baltic & Irish Sea Pioneer / Methanol & Biofuel Trialist",60000,260000,0,3767222,91.11,-24060.1,15458056,17003862,-73512.6,47230102,2588.1,35299,5485.1,14222598,529482,11127235,601503,"Stena Line's 38 Ro-Pax ferries on Scandinavian and Irish Sea corridors face €15.5M in statutory FuelEU penalties in 2025. Our desk delivers 35.3 GWh of Nordic-certified liquid biomethane and Article 21 pooling to preserve ferry operating margins and save €14.2M.",CONVENTIONAL_ONLY,0,38,714280,49999600,71428000,65457656
22,"Norwegian Cruise Line Holdings","Miami, USA","7665 Corporate Center Drive, Miami, FL 33126, USA","+1 305 436 4000","nclhltd.com","Supply Chain & Environmental Operations","VP Marine Operations & Energy Efficiency","Harry Sommer (President & CEO) / Patrik Dahlgren (EVP Operations)","Cruise Line",WEST_MED,INTRA_EU_FEEDER,"Barcelona, Civitavecchia, Southampton",26,"Tier 1: Mega-Deficit (>€10M / year) · Pure Conventional Fuel / Exposed to High Berthing Penalties",190000,110000,0,3468611,91.14,-22484.5,14441537,15885691,-68017.1,43686631,2418.6,32987,5125.9,13286986,494808,10394331,562112,"Cruising Western Mediterranean and European itineraries with 26 cruise ships incurs €14.4M in statutory FuelEU penalties. We structure 33.0 GWh of physical Bio-LNG bunkering at Barcelona and Southampton or pooling allocations to eliminate passenger emissions penalties and net €13.3M in savings.",CONVENTIONAL_ONLY,0,26,661024,46271680,66102400,60713217
23,"Berge Bulk","Singapore / Hamilton, Bermuda","12 Marina Boulevard, #24-03 Marina Bay Financial Centre Tower 3, Singapore 018982","+65 6838 5888","bergebulk.com","Decarbonization & Commercial Operations","Director of Decarbonization & Bunkering","James Marshall (CEO) / Paolo Tonon (Technical Dir)","Dry Bulk Carrier (VLOC & Capesize)",ARA_HUB,TRANSATLANTIC,"Rotterdam, Ijmuiden, Taranto",45,"Tier 1: Mega-Deficit (>€10M / year) · Wind-Assisted Rotor Sails / Still Exposed on Fuel",260000,28000,0,3293222,91.15,-21543.4,13834581,15218039,-64773.7,41595878,2317.4,31607,4911.4,12728353,474098,9956770,538585,"Berge Bulk's 45 VLOC and Capesize bulkers discharging in Rotterdam and Taranto incur a €13.8M FuelEU compliance fee. We supply 31.6 GWh of verified low-CI Bio-LNG or bilateral Article 21 pooling allocations delivering €12.7M in direct client savings.",CONVENTIONAL_ONLY,0,45,629585.6,44070992,62958560,57905573
24,"Hyundai Glovis","Seoul, South Korea","301 Teheran-ro, Gangnam-gu, Seoul 06152, South Korea","+82 2 6191 9114","glovis.net","Shipping Business & Environmental Strategy","Head of Maritime Logistics / Fuel Management Director","Lee Kyu-bok (CEO) / Kim Tae-woo (Head of Shipping)","Vehicle Carrier (PCTC)",UK_CONTINENT,ASIA_EUROPE,"Bremerhaven, Koper, Zeebrugge, Rotterdam",45,"Tier 1: Mega-Deficit (>€10M / year) · Hyundai/Kia Vehicle Transporter / High Deficit",240000,28000,0,3065444,91.15,-20048.4,12874581,14162039,-60288.6,38715877,2156.6,29413,4570.5,11845121,441197,9265874,501209,"Transporting vehicles into Bremerhaven and Zeebrugge across 45 PCTCs triggers a €12.9M statutory FuelEU penalty in 2025. We arrange 29.4 GWh of Article 21 compliance pooling and biomethane bunkering in Northwest Europe to preserve €11.8M in customer earnings.",CONVENTIONAL_ONLY,0,45,585989.6,41019272,58598960,53893853
25,"Thenamaris","Athens, Greece","107 Andrea Syngrou Avenue, 11745 Athens, Greece","+30 210 890 9000","thenamaris.com","Commercial Operations & Energy Transition","Bunker Manager / Environmental Compliance Officer","Nikolas Martinos (CEO)","Tanker & Bulker & LNG",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Rotterdam, Gibraltar",70,"Tier 1: Mega-Deficit (>€10M / year) · Top Greek Maritime Operator",370000,40000,15000,4892917,90.46,-19742.2,12775491,14053040,-83971.7,54339458,2123.6,28964,4500.7,11761753,434459,9221898,493555,"Thenamaris's 70 tankers and bulkers calling European hubs face a €12.8M FuelEU penalty exposure in 2025. Our desk structures 29.0 GWh of Mediterranean biomethane allocations or Article 21 pooling to eliminate the deficit and deliver €11.8M in net value.",DUAL_FUEL_LNG,3,67,925169,64761830,92516900,77537321
26,"Stolt-Nielsen (Stolt Tankers)","London, UK / Rotterdam","Aldwych House, 71-91 Aldwych, London WC2B 4HN, United Kingdom","+44 20 7611 8960","stolt-nielsen.com","Fleet Sustainability & Marine Fuel Procurement","Global Bunker Manager / Sustainability Director","Udo Lange (CEO) / Lucas Vos (President Stolt Tankers)","Chemical Tanker",ARA_HUB,TRANSATLANTIC,"Rotterdam, Antwerp, Houston, Singapore",58,"Tier 1: Mega-Deficit (>€10M / year) · Parcel Chemical Giant / Heavy Port Calls in ARA",180000,75000,0,2939583,91.14,-19101.9,12268327,13495159,-57689.9,37051800,2054.8,28025,4354.8,11287468,420368,8829991,477547,"Carrying specialty chemicals into Rotterdam and Antwerp with 58 parcel tankers incurs €12.3M in FuelEU penalties. We provide 28.0 GWh of certified ARA Bio-LNG and Article 21 compliance pooling to protect parcel chemical operating margins, saving €11.3M.",CONVENTIONAL_ONLY,0,58,560679,39247530,56067900,51515857
27,"Attica Group (Superfast / Blue Star)","Athens, Greece","1-7 Lysikratous & Evripidou Street, 17674 Kallithea, Athens, Greece","+30 210 891 9000","atticagroup.com","Technical Operations & Fuel Purchasing","Technical Director / Fuel Procurement Manager","Panos Dikaios (CEO) / George Papangelis (Technical Dir)","European Ferry",CENTRAL_MED_ADRIATIC,INTRA_EU_FEEDER,"Piraeus, Patras, Igoumenitsa, Heraklion",32,"Tier 1: Mega-Deficit (>€10M / year) · Greek Domestic Island Lifelines / High MGO Exposure",85000,160000,0,2865833,91.12,-18400,11820369,13002406,-56019.9,35987781,1979.3,26995,4194.8,10875549,404923,8508363,460001,"Operating 32 domestic Greek and Adriatic ferries under 100% intra-EU FuelEU compliance rules results in an €11.8M penalty. Our desk delivers 27.0 GWh of virtual pipeline bio-LNG and pooling arrangements tailored to Adriatic corridors, capturing €10.9M in savings.",CONVENTIONAL_ONLY,0,32,544355,38104850,54435500,49925219
